Stratifying data
Stratifying data
Window size: (7, 7)
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  61.973525872442835  predictions:  {0: 1541, 1: 950, 2: 2}
1 Accuracy:  62.41476133172884  predictions:  {0: 1558, 1: 935}
2 Accuracy:  64.0593662254312  predictions:  {0: 1487, 1: 976, 2: 30}
3 Accuracy:  64.70116325711993  predictions:  {0: 1422, 1: 1009, 2: 62}
4 Accuracy:  65.30284797432812  predictions:  {0: 1394, 1: 1028, 2: 71}
5 Accuracy:  65.74408343361412  predictions:  {0: 1310, 1: 1054, 2: 129}
6 Accuracy:  65.58363417569194  predictions:  {0: 1361, 1: 1015, 2: 117}
7 Accuracy:  65.1022864019254  predictions:  {0: 1402, 1: 1027, 2: 64}
8 Accuracy:  65.9045326915363  predictions:  {0: 1384, 1: 1016, 2: 93}
9 Accuracy:  66.06498194945848  predictions:  {0: 1431, 1: 943, 2: 119}
10 Accuracy:  66.38588046530285  predictions:  {0: 1335, 1: 1058, 2: 100}
11 Accuracy:  66.22543120738067  predictions:  {0: 1386, 1: 1028, 2: 79}
12 Accuracy:  66.22543120738067  predictions:  {0: 1409, 1: 954, 2: 130}
13 Accuracy:  66.4259927797834  predictions:  {0: 1434, 1: 936, 2: 123}
14 Accuracy:  66.02486963497793  predictions:  {0: 1398, 1: 989, 2: 106}
15 Accuracy:  66.14520657841958  predictions:  {0: 1424, 1: 968, 2: 101}
16 Accuracy:  66.74689129562775  predictions:  {0: 1371, 1: 995, 2: 127}
17 Accuracy:  66.18531889290013  predictions:  {0: 1547, 1: 852, 2: 94}
18 Accuracy:  67.38868832731649  predictions:  {0: 1342, 1: 969, 2: 182}
19 Accuracy:  66.66666666666666  predictions:  {0: 1436, 1: 933, 2: 124}
20 Accuracy:  67.06778981147212  predictions:  {0: 1325, 1: 998, 2: 170}
21 Accuracy:  66.78700361010831  predictions:  {0: 1415, 1: 945, 2: 133}
22 Accuracy:  66.54632972322503  predictions:  {0: 1411, 1: 949, 2: 133}
