Stratifying data
Window size: (7, 7)
33 Accuracy:  69.71394278855772  predictions:  {0: 2755, 1: 1951, 2: 293}
34 Accuracy:  70.15403080616123  predictions:  {0: 2618, 1: 2136, 2: 245}
35 Accuracy:  70.59411882376475  predictions:  {0: 2672, 1: 2045, 2: 282}
36 Accuracy:  70.17403480696139  predictions:  {0: 2678, 1: 2012, 2: 309}
37 Accuracy:  70.11402280456092  predictions:  {0: 2589, 1: 2083, 2: 327}
38 Accuracy:  69.75395079015804  predictions:  {0: 2590, 1: 2095, 2: 314}
39 Accuracy:  68.51370274054811  predictions:  {0: 2556, 1: 2131, 2: 312}
40 Accuracy:  69.91398279655931  predictions:  {0: 2800, 1: 1914, 2: 285}
41 Accuracy:  69.29385877175434  predictions:  {0: 2660, 1: 2081, 2: 258}
42 Accuracy:  70.29405881176235  predictions:  {0: 2678, 1: 1987, 2: 334}
43 Accuracy:  69.4738947789558  predictions:  {0: 2790, 1: 1990, 2: 219}
44 Accuracy:  68.93378675735147  predictions:  {0: 2944, 1: 1826, 2: 229}
45 Accuracy:  70.374074814963  predictions:  {0: 2750, 1: 1920, 2: 329}
46 Accuracy:  70.05401080216043  predictions:  {0: 2702, 1: 1953, 2: 344}
47 Accuracy:  69.41388277655531  predictions:  {0: 2649, 1: 2111, 2: 239}
48 Accuracy:  68.61372274454891  predictions:  {0: 2844, 1: 1727, 2: 428}
49 Accuracy:  69.31386277255451  predictions:  {0: 2742, 1: 1960, 2: 297}
Stratifying data
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  66.87337467493498  predictions:  {0: 2745, 1: 2106, 2: 148}
1 Accuracy:  68.59371874374875  predictions:  {0: 2730, 1: 2028, 2: 241}
2 Accuracy:  68.89377875575114  predictions:  {0: 2609, 1: 2108, 2: 282}
3 Accuracy:  68.79375875175035  predictions:  {0: 2806, 1: 1976, 2: 217}
4 Accuracy:  68.47369473894778  predictions:  {0: 2634, 1: 2153, 2: 212}
5 Accuracy:  68.81376275255052  predictions:  {0: 2615, 1: 2145, 2: 239}
6 Accuracy:  68.83376675335067  predictions:  {0: 2745, 1: 2039, 2: 215}
7 Accuracy:  68.91378275655131  predictions:  {0: 2688, 1: 2085, 2: 226}
8 Accuracy:  69.53390678135627  predictions:  {0: 2770, 1: 1957, 2: 272}
